(PDH-CSV 4.0) (India Standard Time)(-330),Available MBytes,Processor Time,KBytes Total,HighCPU,HighRAM,NoNetwork
05:49.6,456,3.385665429,2.200121014,0,0,0
05:50.6,450,6.470601701,2.894620452,0,0,0
05:51.6,459,4.068973103,2.212914713,0,0,0
05:52.6,455,2.017245299,1.467309857,0,0,0
05:53.6,496,7.925278901,2.201106998,0,0,0
05:54.6,507,6.156411659,2.020279824,0,0,0
05:55.6,509,7.170039968,1.494127374,0,0,0
05:56.6,506,4.363307413,1.415391001,0,0,0
05:57.6,485,17.38724722,2.82991176,0,0,0
05:58.6,494,32.18026023,5.025127548,0,0,0
05:59.6,489,14.30238025,8.359841974,0,0,0
06:00.6,490,9.770105412,5.120379839,0,0,0
06:01.6,487,8.614613286,22.22782027,0,0,0
06:02.6,465,22.31802716,9.372083563,0,0,0
06:03.6,466,18.5618386,17.12958062,0,0,0
06:04.6,462,6.393225219,9.037956066,0,0,0
06:05.6,461,3.57407159,2.325609989,0,0,0
06:06.6,487,5.843822056,3.73809152,0,0,0
06:07.6,488,0.169343066,2.299800396,0,0,0
06:08.6,479,3.389179638,1.931613233,0,0,0
06:09.6,476,5.144010124,1.652025495,0,0,0
06:10.6,462,5.33354257,1.992289848,0,0,0
06:11.6,472,4.538168582,2.448550807,0,0,0
06:12.6,465,6.645103166,1.318883704,0,0,0
06:13.6,463,6.084109131,4.733495605,0,0,0
06:14.6,461,0.949265073,1.785133487,0,0,0
06:15.6,466,3.385665429,4.001242932,0,0,0
06:16.6,456,5.048974061,1.527349638,0,0,0
06:17.6,447,8.956408968,1.354250878,0,0,0
06:18.6,443,7.132808414,2.47047608,0,0,0
06:19.6,442,4.443474303,35.64528142,0,0,0
06:20.6,435,8.748535146,36.55693743,0,0,0
06:21.6,434,14.54982988,12.24755932,0,0,0
06:22.6,429,11.56671546,1.052662986,0,0,0
06:23.6,426,4.4746735,17.21671686,0,0,0
06:24.6,420,4.649634837,2.849783169,0,0,0
06:25.6,422,5.249836462,50.44682528,0,0,0
06:26.6,432,3.775236862,69.36453545,0,0,0
06:27.6,435,8.473967047,2.824064216,0,0,0
06:28.6,346,32.29800036,3.748116374,0,1,0
06:29.6,349,3.001995048,3.229844854,0,1,0
06:30.6,333,16.98797447,0.587892449,0,1,0
06:31.6,330,37.93373415,0.976516477,0,1,0
06:32.6,352,10.66572626,0.751878702,0,1,0
06:33.6,371,2.214592237,1.338453365,0,1,0
06:34.6,369,12.04416484,1.349847671,0,1,0
